              yp,          delta_y,             gr_y,            AR_xy
       14.902068,         0.152276,         1.017709,         2.267669
       15.057064,         0.154996,         1.017862,         2.227874
       15.214853,         0.157789,         1.018017,         2.188445
       15.375510,         0.160657,         1.018174,         2.149383
       15.539111,         0.163602,         1.018332,         2.110690
       15.705739,         0.166627,         1.018492,         2.072367
       15.875474,         0.169735,         1.018654,         2.034417
       16.048403,         0.172929,         1.018818,         1.996841
       16.224616,         0.176212,         1.018984,         1.959640
       16.404202,         0.179587,         1.019151,         1.922815
       16.587259,         0.183057,         1.019321,         1.886370
       16.773884,         0.186625,         1.019492,         1.850304
       16.964179,         0.190295,         1.019665,         1.814619
       17.158249,         0.194070,         1.019840,         1.779318
       17.356204,         0.197955,         1.020017,         1.744401
       17.558156,         0.201952,         1.020195,         1.709870
       17.764223,         0.206067,         1.020375,         1.675727
       17.974527,         0.210304,         1.020558,         1.641972
       18.189192,         0.214666,         1.020741,         1.608607
       18.408350,         0.219158,         1.020927,         1.575634
       18.632135,         0.223785,         1.021114,         1.543054
       18.860688,         0.228552,         1.021303,         1.510868
       19.094153,         0.233465,         1.021493,         1.479078
       19.332680,         0.238527,         1.021685,         1.447685
       19.576426,         0.243746,         1.021878,         1.416690
       19.825552,         0.249126,         1.022073,         1.386095
       20.080226,         0.254674,         1.022269,         1.355900
       20.340622,         0.260395,         1.022466,         1.326108
       20.606919,         0.266297,         1.022664,         1.296719
       20.879304,         0.272385,         1.022863,         1.267735
       21.157972,         0.278667,         1.023063,         1.239156
       21.443122,         0.285150,         1.023263,         1.210985
       21.734963,         0.291841,         1.023464,         1.183222
       22.033710,         0.298747,         1.023665,         1.155868
       22.339587,         0.305877,         1.023866,         1.128925
       22.652826,         0.313239,         1.024067,         1.102393
       22.973667,         0.320841,         1.024268,         1.076274
       23.302358,         0.328691,         1.024468,         1.050569
       23.639156,         0.336799,         1.024667,         1.025279
       23.984329,         0.345173,         1.024864,         1.000405
       24.338152,         0.353823,         1.025060,         0.975947
       24.700910,         0.362758,         1.025254,         0.951908
       25.072899,         0.371989,         1.025445,         0.928288
       25.454423,         0.381524,         1.025633,         0.905088
       25.845796,         0.391374,         1.025818,         0.882309
       26.247345,         0.401549,         1.025998,         0.859951
       26.659404,         0.412059,         1.026174,         0.838017
       27.082319,         0.422915,         1.026345,         0.816507
       27.516444,         0.434126,         1.026509,         0.795421
       27.962147,         0.445702,         1.026667,         0.774760
       28.419801,         0.457654,         1.026817,         0.754527
       28.889793,         0.469992,         1.026958,         0.734720
       29.372517,         0.482724,         1.027090,         0.715342
       29.868376,         0.495859,         1.027211,         0.696392
       30.377783,         0.509406,         1.027320,         0.677872
       30.901155,         0.523373,         1.027417,         0.659783
       31.438921,         0.537765,         1.027499,         0.642125
       31.991510,         0.552589,         1.027566,         0.624899
       32.559360,         0.567850,         1.027616,         0.608106
       33.142909,         0.583549,         1.027647,         0.591746
       33.742597,         0.599689,         1.027658,         0.575820
       34.358865,         0.616268,         1.027646,         0.560329
       34.992149,         0.633284,         1.027611,         0.545273
       35.642880,         0.650731,         1.027550,         0.530653
       36.311481,         0.668601,         1.027461,         0.516470
       36.998363,         0.686882,         1.027343,         0.502724
       37.703923,         0.705560,         1.027192,         0.489416
       38.428537,         0.724614,         1.027006,         0.476547
       39.172559,         0.744022,         1.026784,         0.464116
       39.936313,         0.763755,         1.026522,         0.452125
       40.720093,         0.783780,         1.026219,         0.440573
       41.524151,         0.804058,         1.025872,         0.429462
       42.348694,         0.824544,         1.025478,         0.418792
       43.193881,         0.845187,         1.025036,         0.408563
       44.059812,         0.865930,         1.024543,         0.398776
       44.946521,         0.886710,         1.023996,         0.389431
       45.853975,         0.907454,         1.023395,         0.380529
       46.782062,         0.928086,         1.022737,         0.372069
       47.730584,         0.948523,         1.022020,         0.364053
       48.699256,         0.968672,         1.021243,         0.356480
       49.687696,         0.988439,         1.020406,         0.349351
       50.695417,         1.007722,         1.019508,         0.342667
       51.721831,         1.026414,         1.018549,         0.336426
       52.766237,         1.044406,         1.017529,         0.330631
       53.827823,         1.061586,         1.016450,         0.325280
       54.905664,         1.077841,         1.015312,         0.320374
       55.998722,         1.093058,         1.014119,         0.315914
       57.105850,         1.107128,         1.012872,         0.311899
       58.225793,         1.119943,         1.011575,         0.308330
       59.357197,         1.131404,         1.010233,         0.305207
       60.498614,         1.141416,         1.008850,         0.302530
       61.648511,         1.149897,         1.007430,         0.300299
       62.805285,         1.156774,         1.005980,         0.298513
       63.967270,         1.161985,         1.004505,         0.297175
       65.132756,         1.165486,         1.003013,         0.296282
       66.300000,         1.167244,         1.001509,         0.295836
